,name,color_mean,color_std,hog,color_hist
0,Data/train\Bo\cow1.jpg,Feature\color_mean_cow1.npy,Feature\color_out_cow1.npy,Feature\hog_cow1.npy,Feature\color_hist_cow1.npy
1,Data/train\Bo\cow10.jpg,Feature\color_mean_cow10.npy,Feature\color_out_cow10.npy,Feature\hog_cow10.npy,Feature\color_hist_cow10.npy
2,Data/train\Bo\cow11.jpg,Feature\color_mean_cow11.npy,Feature\color_out_cow11.npy,Feature\hog_cow11.npy,Feature\color_hist_cow11.npy
3,Data/train\Bo\cow12.jpg,Feature\color_mean_cow12.npy,Feature\color_out_cow12.npy,Feature\hog_cow12.npy,Feature\color_hist_cow12.npy
4,Data/train\Bo\cow13.jpg,Feature\color_mean_cow13.npy,Feature\color_out_cow13.npy,Feature\hog_cow13.npy,Feature\color_hist_cow13.npy
5,Data/train\Bo\cow14.jpg,Feature\color_mean_cow14.npy,Feature\color_out_cow14.npy,Feature\hog_cow14.npy,Feature\color_hist_cow14.npy
6,Data/train\Bo\cow15.jpg,Feature\color_mean_cow15.npy,Feature\color_out_cow15.npy,Feature\hog_cow15.npy,Feature\color_hist_cow15.npy
7,Data/train\Bo\cow17.jpg,Feature\color_mean_cow17.npy,Feature\color_out_cow17.npy,Feature\hog_cow17.npy,Feature\color_hist_cow17.npy
8,Data/train\Bo\cow18.jpg,Feature\color_mean_cow18.npy,Feature\color_out_cow18.npy,Feature\hog_cow18.npy,Feature\color_hist_cow18.npy
9,Data/train\Bo\cow19.jpg,Feature\color_mean_cow19.npy,Feature\color_out_cow19.npy,Feature\hog_cow19.npy,Feature\color_hist_cow19.npy
10,Data/train\Bo\cow2.jpg,Feature\color_mean_cow2.npy,Feature\color_out_cow2.npy,Feature\hog_cow2.npy,Feature\color_hist_cow2.npy
11,Data/train\Bo\cow20.jpg,Feature\color_mean_cow20.npy,Feature\color_out_cow20.npy,Feature\hog_cow20.npy,Feature\color_hist_cow20.npy
12,Data/train\Bo\cow21.jpg,Feature\color_mean_cow21.npy,Feature\color_out_cow21.npy,Feature\hog_cow21.npy,Feature\color_hist_cow21.npy
13,Data/train\Bo\cow22.jpg,Feature\color_mean_cow22.npy,Feature\color_out_cow22.npy,Feature\hog_cow22.npy,Feature\color_hist_cow22.npy
14,Data/train\Bo\cow23.jpg,Feature\color_mean_cow23.npy,Feature\color_out_cow23.npy,Feature\hog_cow23.npy,Feature\color_hist_cow23.npy
15,Data/train\Bo\cow24.jpg,Feature\color_mean_cow24.npy,Feature\color_out_cow24.npy,Feature\hog_cow24.npy,Feature\color_hist_cow24.npy
16,Data/train\Bo\cow3.jpg,Feature\color_mean_cow3.npy,Feature\color_out_cow3.npy,Feature\hog_cow3.npy,Feature\color_hist_cow3.npy
17,Data/train\Bo\cow4.jpg,Feature\color_mean_cow4.npy,Feature\color_out_cow4.npy,Feature\hog_cow4.npy,Feature\color_hist_cow4.npy
18,Data/train\Bo\cow5.jpg,Feature\color_mean_cow5.npy,Feature\color_out_cow5.npy,Feature\hog_cow5.npy,Feature\color_hist_cow5.npy
19,Data/train\Bo\cow6.jpg,Feature\color_mean_cow6.npy,Feature\color_out_cow6.npy,Feature\hog_cow6.npy,Feature\color_hist_cow6.npy
20,Data/train\Bo\cow7.jpg,Feature\color_mean_cow7.npy,Feature\color_out_cow7.npy,Feature\hog_cow7.npy,Feature\color_hist_cow7.npy
21,Data/train\Bo\cow8.jpg,Feature\color_mean_cow8.npy,Feature\color_out_cow8.npy,Feature\hog_cow8.npy,Feature\color_hist_cow8.npy
22,Data/train\Bo\cow9.jpg,Feature\color_mean_cow9.npy,Feature\color_out_cow9.npy,Feature\hog_cow9.npy,Feature\color_hist_cow9.npy
23,Data/train\Cho\dog1.jpg,Feature\color_mean_dog1.npy,Feature\color_out_dog1.npy,Feature\hog_dog1.npy,Feature\color_hist_dog1.npy
24,Data/train\Cho\dog10.jpg,Feature\color_mean_dog10.npy,Feature\color_out_dog10.npy,Feature\hog_dog10.npy,Feature\color_hist_dog10.npy
25,Data/train\Cho\dog11.jpg,Feature\color_mean_dog11.npy,Feature\color_out_dog11.npy,Feature\hog_dog11.npy,Feature\color_hist_dog11.npy
26,Data/train\Cho\dog12.jpg,Feature\color_mean_dog12.npy,Feature\color_out_dog12.npy,Feature\hog_dog12.npy,Feature\color_hist_dog12.npy
27,Data/train\Cho\dog13.jpg,Feature\color_mean_dog13.npy,Feature\color_out_dog13.npy,Feature\hog_dog13.npy,Feature\color_hist_dog13.npy
28,Data/train\Cho\dog14.jpg,Feature\color_mean_dog14.npy,Feature\color_out_dog14.npy,Feature\hog_dog14.npy,Feature\color_hist_dog14.npy
29,Data/train\Cho\dog15.jpg,Feature\color_mean_dog15.npy,Feature\color_out_dog15.npy,Feature\hog_dog15.npy,Feature\color_hist_dog15.npy
30,Data/train\Cho\dog3.jpg,Feature\color_mean_dog3.npy,Feature\color_out_dog3.npy,Feature\hog_dog3.npy,Feature\color_hist_dog3.npy
31,Data/train\Cho\dog4.jpg,Feature\color_mean_dog4.npy,Feature\color_out_dog4.npy,Feature\hog_dog4.npy,Feature\color_hist_dog4.npy
32,Data/train\Cho\dog5.jpg,Feature\color_mean_dog5.npy,Feature\color_out_dog5.npy,Feature\hog_dog5.npy,Feature\color_hist_dog5.npy
33,Data/train\Cho\dog6.jpg,Feature\color_mean_dog6.npy,Feature\color_out_dog6.npy,Feature\hog_dog6.npy,Feature\color_hist_dog6.npy
34,Data/train\Cho\dog7.jpg,Feature\color_mean_dog7.npy,Feature\color_out_dog7.npy,Feature\hog_dog7.npy,Feature\color_hist_dog7.npy
35,Data/train\Cho\dog8.jpg,Feature\color_mean_dog8.npy,Feature\color_out_dog8.npy,Feature\hog_dog8.npy,Feature\color_hist_dog8.npy
36,Data/train\Cho\dog9.jpg,Feature\color_mean_dog9.npy,Feature\color_out_dog9.npy,Feature\hog_dog9.npy,Feature\color_hist_dog9.npy
37,Data/train\Cuu\cuu1.jpg,Feature\color_mean_cuu1.npy,Feature\color_out_cuu1.npy,Feature\hog_cuu1.npy,Feature\color_hist_cuu1.npy
38,Data/train\Cuu\cuu2.jpg,Feature\color_mean_cuu2.npy,Feature\color_out_cuu2.npy,Feature\hog_cuu2.npy,Feature\color_hist_cuu2.npy
39,Data/train\Cuu\cuu3.jpg,Feature\color_mean_cuu3.npy,Feature\color_out_cuu3.npy,Feature\hog_cuu3.npy,Feature\color_hist_cuu3.npy
40,Data/train\Cuu\cuu4.jpg,Feature\color_mean_cuu4.npy,Feature\color_out_cuu4.npy,Feature\hog_cuu4.npy,Feature\color_hist_cuu4.npy
